"","idstud","rater","k1","k2","k3","k4","k5"
"1",100020106,"db03",1,1,1,1,2
"2",100020106,"db54",1,1,1,1,2
"3",100070101,"db08",0,1,1,1,1
"4",100070101,"db31",1,1,1,2,2
"5",100100109,"db02",2,1,2,1,0
"6",200010120,"db01",0,0,0,0,1
"7",200010120,"db08",1,0,0,0,0
"8",200010210,"db07",3,3,3,2,3
"10",200010213,"db01",0,0,1,0,1
"11",200010213,"db08",0,0,0,1,0
"12",200030112,"db02",2,2,1,2,1
"13",200030112,"db07",3,2,2,2,1
"14",200040105,"db03",2,2,1,2,2
"16",200050113,"db03",2,2,1,2,1
"17",200050113,"db08",3,1,2,1,1
"18",200100110,"db01",1,1,1,1,1
"21",200100302,"db31",3,2,2,2,1
"23",200150117,"db54",3,2,3,3,2
"24",200190108,"db02",1,0,1,0,1
"25",200190108,"db07",1,1,1,1,0
"26",200200208,"db31",1,1,1,1,0
"29",200210105,"db54",2,1,1,2,2
"30",200220115,"db01",1,1,1,1,2
"31",200220115,"db02",2,1,1,1,2
"32",200220115,"db03",2,1,2,1,2
"33",200220115,"db07",2,1,2,1,2
"34",200220115,"db08",1,1,2,1,2
"39",200220115,"db31",2,1,1,2,1
"44",200220115,"db54",2,1,2,2,2
"48",300020116,"db03",2,1,1,2,2
"49",300020116,"db31",2,2,2,2,2
"51",300020223,"db54",2,2,2,2,2
"52",300040123,"db01",1,1,1,2,0
"53",300040123,"db02",1,1,1,1,1
"54",300040123,"db03",1,1,2,1,1
"55",300040123,"db07",2,2,1,1,2
"56",300040123,"db08",1,2,1,2,1
"61",300040123,"db31",2,1,2,2,1
"66",300040123,"db54",2,1,1,1,1
"68",300040220,"db01",1,1,1,1,2
"69",300040220,"db02",1,1,1,1,2
"70",300040220,"db03",1,1,1,2,2
"71",300040220,"db07",2,1,2,2,2
"72",300040220,"db08",3,2,2,1,2
"77",300040220,"db31",3,3,3,3,3
"82",300040220,"db54",2,1,1,1,2
"84",300040301,"db03",0,0,1,1,1
"86",300040312,"db07",2,2,2,2,2
"88",300040317,"db01",1,1,1,1,1
"89",300040317,"db02",2,1,1,1,2
"90",300040317,"db03",2,2,1,2,2
"91",300040317,"db07",2,1,1,1,2
"92",300040317,"db08",2,2,1,0,1
"97",300040317,"db31",2,2,2,2,1
"102",300040317,"db54",2,1,1,2,2
"104",300060102,"db31",3,3,3,2,2
"107",300120101,"db31",1,1,1,1,1
"109",300120113,"db54",0,0,1,1,1
"114",300140212,"db01",1,2,1,1,1
"116",300150109,"db03",1,1,2,2,2
"120",300160118,"db01",1,1,2,2,2
"124",300210119,"db31",3,3,3,3,2
"125",300210119,"db54",3,3,3,2,2
"126",300210210,"db03",0,0,1,1,1
"128",300230113,"db01",0,0,0,1,1
"129",300230113,"db02",1,0,1,0,2
"130",300230113,"db07",1,1,1,1,2
"131",300230113,"db08",2,2,1,1,1
"136",300230113,"db31",1,0,1,1,1
"141",300230113,"db54",0,1,1,0,3
"143",300240111,"db08",0,0,0,0,1
"145",300240201,"db07",1,0,1,0,2
"147",300250206,"db07",2,2,2,2,2
"149",300290201,"db07",3,3,3,3,3
"153",300300204,"db03",2,2,2,2,1
"155",300320120,"db07",2,2,2,2,3
"157",300350107,"db08",3,1,2,0,0
"158",300350107,"db54",2,0,2,1,1
"161",300380114,"db07",2,2,2,2,3
"162",300380114,"db08",3,3,3,1,2
"163",300390113,"db01",1,1,1,1,1
"164",300390113,"db07",1,1,1,1,1
"166",300400107,"db31",1,2,2,2,1
"167",300460310,"db31",0,1,1,1,1
"170",300460319,"db54",2,2,1,2,2
"172",300470107,"db31",1,1,1,2,0
"173",400020101,"db02",1,0,1,0,1
"176",400020112,"db54",2,2,2,2,2
"178",400040120,"db54",2,2,2,2,2
"179",400050107,"db01",2,2,2,2,2
"180",400050107,"db02",2,2,2,2,3
"181",400050107,"db03",3,3,3,2,3
"182",400050107,"db07",3,3,3,3,3
"183",400050107,"db08",3,3,3,3,2
"188",400050107,"db31",3,3,3,3,3
"193",400050107,"db54",3,3,3,2,3
"195",400050108,"db31",3,3,3,3,3
"197",400050206,"db07",2,2,2,2,2
"198",400050206,"db54",1,1,1,1,2
"199",400080117,"db01",1,0,1,1,0
"200",400080117,"db02",1,0,1,0,0
"201",400080117,"db03",1,0,1,0,0
"202",400080117,"db07",1,0,1,0,0
"203",400080117,"db08",2,1,1,0,0
"208",400080117,"db31",1,0,1,1,0
"213",400080117,"db54",3,1,2,0,1
"216",400090308,"db54",3,3,3,3,3
"219",400110109,"db02",1,0,1,1,1
"220",400110109,"db03",0,0,1,1,1
"221",400130105,"db01",0,0,0,0,1
"222",400130105,"db02",1,0,0,0,0
"223",400130105,"db07",0,0,0,0,0
"224",400130105,"db08",0,0,0,0,0
"229",400130105,"db31",0,0,1,0,0
"234",400130105,"db54",0,0,1,0,1
"236",400140112,"db07",2,1,2,1,1
"238",400170101,"db07",2,2,2,2,2
"239",400170101,"db31",2,1,2,2,2
"242",400190211,"db01",2,2,2,2,2
"243",400190211,"db02",2,2,2,2,2
"244",400190211,"db03",2,2,2,2,2
"245",400190211,"db07",3,3,3,3,3
"246",400190211,"db08",2,2,3,2,1
"251",400190211,"db31",3,3,3,3,3
"256",400190211,"db54",2,2,2,2,2
"260",400220106,"db01",1,1,1,2,1
"261",400220106,"db02",1,1,2,2,1
"262",400220106,"db03",2,2,2,2,0
"263",400220106,"db07",3,2,2,2,1
"264",400220106,"db08",2,3,3,3,1
"269",400220106,"db31",2,1,2,2,1
"274",400220106,"db54",2,2,2,2,1
"277",400230103,"db54",1,1,1,1,2
"278",400230201,"db08",3,2,3,2,3
"280",400250117,"db08",1,0,1,0,0
"288",400300122,"db01",0,0,1,0,1
"289",400300122,"db54",1,1,1,1,1
"290",400300214,"db01",1,1,2,1,1
"291",400300214,"db31",2,2,2,2,1
"292",400310204,"db08",2,2,0,0,1
"294",400320120,"db03",2,2,2,2,1
"296",400350213,"db02",1,1,1,1,1
"298",400360212,"db01",0,0,1,0,2
"300",400360219,"db03",1,1,0,1,0
"302",400380113,"db08",1,0,1,0,0
"304",400390101,"db01",3,3,3,2,1
"305",400390101,"db02",2,3,3,2,3
"306",400390101,"db03",3,3,3,3,2
"307",400390101,"db07",3,2,3,2,3
"308",400390101,"db08",3,3,3,2,2
"313",400390101,"db31",3,3,3,2,2
"318",400390101,"db54",3,3,3,1,2
"320",400390210,"db07",2,2,2,2,2
"322",400440113,"db02",1,2,2,2,2
"324",400440216,"db01",1,1,1,2,1
"325",400440216,"db02",2,1,1,2,2
"326",400440216,"db03",2,1,1,1,1
"327",400440216,"db07",3,2,2,2,2
"328",400440216,"db08",3,2,2,2,1
"333",400440216,"db31",3,3,3,3,3
"338",400440216,"db54",2,2,1,2,2
"340",400450305,"db02",1,1,1,1,3
"344",400460301,"db31",3,3,2,3,2
"346",500030121,"db07",3,3,3,3,3
"347",500030121,"db31",3,3,3,3,3
"348",500040303,"db01",1,1,1,1,1
"352",500060205,"db01",1,0,1,0,2
"353",500060205,"db02",1,0,0,0,3
"354",500060205,"db03",0,0,1,0,2
"355",500060205,"db07",1,0,1,0,2
"356",500060205,"db08",1,0,0,0,2
"361",500060205,"db31",1,0,1,1,1
"366",500060205,"db54",1,1,1,0,2
"372",500100120,"db01",1,1,2,2,0
"373",500100120,"db54",2,2,2,2,0
"374",500110204,"db08",3,3,3,3,3
"378",500160207,"db03",2,2,2,2,2
"380",500160218,"db01",1,1,2,2,1
"381",500160218,"db02",2,2,2,2,2
"382",500160218,"db03",1,1,2,2,2
"383",500160218,"db07",3,3,3,3,2
"384",500160218,"db08",3,3,2,2,1
"389",500160218,"db31",3,3,3,2,2
"394",500160218,"db54",3,2,2,2,2
"399",600040209,"db01",0,1,1,1,2
"401",600070106,"db03",1,1,1,1,1
"403",600140112,"db01",0,1,1,0,2
"404",600140112,"db02",1,0,1,1,2
"405",600140112,"db03",1,1,1,1,2
"406",600140112,"db07",1,1,1,1,2
"407",600140112,"db08",0,0,0,1,2
"412",600140112,"db31",0,0,1,1,1
"417",600140112,"db54",0,0,1,1,2
"419",600140218,"db07",2,2,2,2,2
"421",600150106,"db01",1,1,1,1,1
"425",600170211,"db08",3,2,2,1,0
"429",600210202,"db31",1,1,2,2,1
"432",600230105,"db31",2,2,2,2,1
"433",600250105,"db03",1,1,1,2,1
"435",600280115,"db01",2,1,2,1,1
"437",600280117,"db08",2,2,2,2,1
"439",600330109,"db01",2,2,1,2,2
"440",600330109,"db02",2,2,1,2,2
"441",600330109,"db03",2,2,2,2,2
"442",600330109,"db07",3,2,3,3,2
"443",600330109,"db08",3,2,3,3,1
"448",600330109,"db31",2,2,2,2,2
"453",600330109,"db54",3,2,3,3,2
"457",600370211,"db03",1,1,0,1,0
"459",700030217,"db01",1,2,2,2,0
"460",700030217,"db02",1,1,1,2,0
"461",700030217,"db03",1,1,1,1,0
"462",700030217,"db07",3,2,2,2,1
"463",700030217,"db08",3,3,2,1,0
"468",700030217,"db31",3,3,3,2,1
"473",700030217,"db54",2,1,2,2,0
"476",700070303,"db54",2,2,2,1,2
"479",700080112,"db02",3,2,2,2,2
"480",700080112,"db03",2,3,3,2,2
"481",700090212,"db02",0,0,1,1,2
"486",700140118,"db31",1,0,1,1,2
"487",700140205,"db08",3,2,2,2,2
"491",700210211,"db03",1,1,2,2,2
"492",700210211,"db07",2,2,2,2,2
"499",800100307,"db03",0,1,1,1,1
"501",800110102,"db07",2,1,2,2,2
"504",800110105,"db54",2,2,1,1,2
"505",800110210,"db01",0,1,0,1,1
"506",800130102,"db01",1,1,1,1,0
"507",800130102,"db02",1,1,1,1,0
"508",800130102,"db03",1,1,1,1,0
"509",800130102,"db07",2,1,2,1,1
"510",800130102,"db08",2,1,1,0,0
"515",800130102,"db31",2,2,1,1,1
"520",800130102,"db54",2,2,2,1,1
"522",800130305,"db02",1,1,1,2,0
"523",800130305,"db08",3,1,1,1,0
"527",900040216,"db01",0,0,1,0,0
"528",900040216,"db02",1,0,0,0,1
"529",900040216,"db03",0,0,1,0,1
"530",900040216,"db07",1,0,1,0,0
"531",900040216,"db08",1,0,1,0,0
"536",900040216,"db31",0,0,1,0,0
"541",900040216,"db54",1,0,1,0,1
"543",900050213,"db08",3,1,1,3,2
"548",900060123,"db54",2,2,1,3,2
"552",900060302,"db54",2,3,3,3,3
"554",900060316,"db31",1,1,1,1,1
"559",900120320,"db08",0,1,0,0,0
"561",900130117,"db03",1,1,2,1,0
"563",900140114,"db01",0,1,1,0,1
"564",900160112,"db07",1,1,1,0,1
"566",900160117,"db03",1,1,1,1,1
"567",900160117,"db07",2,1,1,1,2
"570",900170225,"db02",1,1,1,1,0
"572",900180315,"db02",1,1,1,1,1
"573",900180315,"db31",1,1,1,1,1
"576",900200106,"db01",0,1,1,1,2
"577",900200106,"db02",1,1,2,1,2
"578",900200120,"db02",3,2,2,2,2
"580",900200303,"db07",2,1,2,2,2
"582",900210219,"db31",1,1,1,1,2
"584",900220109,"db02",1,1,1,1,1
"586",900220303,"db02",1,1,1,1,2
"587",900220303,"db54",1,1,1,0,1
"588",900230116,"db01",1,1,1,1,2
"592",900250309,"db01",0,0,0,0,0
"593",900250309,"db31",0,0,1,0,0
"596",900290209,"db08",1,3,3,1,1
"600",900330214,"db01",1,1,1,1,1
"602",900340101,"db02",1,0,1,1,1
"604",900340204,"db01",0,0,0,0,1
"608",900360108,"db01",3,3,2,2,2
"614",900430203,"db07",2,1,2,1,2
